text,start,end,confidence,line_number,line_position,audible_duration,pregap
for,1712.47,1712.71,0.832,498,8,0.24,0.0
you,1713.78,1713.94,1.0,499,0,0.16,1713.78
could,1713.94,1714.07,0.461,499,1,0.13,0.0
swing,1714.07,1714.34,0.541,499,2,0.27,0.0
never,1715.01,1715.35,0.871,499,3,0.34,0.67
hurts,1715.35,1715.63,0.216,499,4,0.28,0.0
to,1715.63,1715.77,0.555,499,5,0.14,0.0
ask,1715.77,1716.09,0.195,499,6,0.32,0.0
the,1716.63,1716.85,0.432,500,0,0.22,1716.63
it,1718.72,1718.9,1.0,501,0,0.18,1718.72
never,1718.9,1719.16,1.0,501,1,0.26,0.0
does,1719.16,1719.48,0.992,501,2,0.32,0.0
your,1719.48,1719.6399999999999,0.784,501,3,0.16,0.0
arm,1719.6399999999999,1719.91,0.119,501,4,0.27,0.0
so,1721.04,1721.54,0.995,502,0,0.5,1721.04
in,1722.31,1722.41,0.721,503,0,0.1,1722.31
that,1722.41,1722.59,0.985,503,1,0.18,0.0
same,1722.59,1722.88,1.0,503,2,0.29,0.0
spirit,1722.88,1723.38,0.981,503,3,0.5,0.0
where,1723.99,1724.18,1.0,504,0,0.19,1723.99
are,1724.18,1724.29,0.761,504,1,0.11,0.0
we,1724.29,1724.45,1.0,504,2,0.16,0.0
with,1724.45,1724.59,1.0,504,3,0.14,0.0
the,1724.59,1724.67,1.0,504,4,0.08,0.0
bark,1724.67,1724.91,0.833,504,5,0.24,0.0
still,1724.91,1725.16,0.835,504,6,0.25,0.0
prone,1725.16,1725.52,0.139,504,7,0.36,0.0
my,1728.9,1729.12,0.63,505,0,0.22,1728.9
other,1729.12,1729.27,0.56,505,1,0.15,0.0
reason,1729.27,1729.6,0.899,505,2,0.33,0.0
for,1729.6,1729.75,0.87,505,3,0.15,0.0
stopping,1729.75,1730.1399999999999,0.772,505,4,0.39,0.0
by,1730.1399999999999,1730.52,0.928,505,5,0.38,0.0
and,1737.7,1738.0,0.679,508,0,0.3,1737.7
the,1738.0,1738.06,0.956,508,1,0.06,0.0
hands,1738.06,1738.46,0.686,508,2,0.4,0.0
and,1738.46,1738.56,0.356,508,3,0.1,0.0
search,1738.56,1738.8899999999999,1.0,508,4,0.33,0.0
and,1738.8899999999999,1738.98,1.0,508,5,0.09,0.0
seizures,1738.98,1739.54,0.832,508,6,0.56,0.0
heard,1739.67,1739.88,0.768,508,7,0.21,0.13
about,1739.88,1740.15,1.0,508,8,0.27,0.0
these,1740.15,1740.56,0.991,508,9,0.41,0.0
some,1741.1100000000001,1741.35,0.417,509,0,0.24,1741.11
mid,1741.35,1741.54,0.68,509,1,0.19,0.0
level,1741.54,1741.81,0.899,509,2,0.27,0.0
players,1741.81,1742.22,0.639,509,3,0.41,0.0
caught,1742.22,1742.51,0.774,509,4,0.29,0.0
up,1742.51,1742.68,0.921,509,5,0.17,0.0
as,1742.68,1742.8,0.57,509,6,0.12,0.0
you,1742.8,1742.9,0.985,509,7,0.1,0.0
can,1742.9,1743.05,1.0,509,8,0.15,0.0
see,1743.05,1743.42,0.977,509,9,0.37,0.0
like,1743.76,1744.03,0.314,509,10,0.27,0.34
it's,1744.25,1744.63,1.0,509,11,0.38,0.22
not,1745.05,1745.3,0.936,510,0,0.25,1745.05
a,1745.3,1745.33,0.683,510,1,0.03,0.0
knockout,1745.33,1745.82,0.683,510,2,0.49,0.0
blow,1745.82,1746.18,0.995,510,3,0.36,0.0
but,1746.47,1746.75,1.0,510,4,0.28,0.29
we,1746.79,1746.92,1.0,510,5,0.13,0.04
sent,1746.92,1747.3,0.78,510,6,0.38,0.0
a,1747.3,1747.3600000000001,0.892,510,7,0.06,0.0
clear,1747.3600000000001,1747.77,0.974,510,8,0.41,0.0
message,1747.77,1748.37,0.998,510,9,0.6,0.0
I,1750.79,1750.8600000000001,0.367,511,0,0.07,1750.79
don't,1750.8600000000001,1750.99,0.126,511,1,0.13,0.0
see,1750.99,1751.12,0.27,511,2,0.13,0.0
barstools,1751.12,1751.73,0.164,511,3,0.61,0.0
name,1751.73,1751.96,0.999,511,4,0.23,0.0
anywhere,1751.96,1752.4,0.76,511,5,0.44,0.0
or,1752.77,1752.93,1.0,511,6,0.16,0.37
bell,1752.93,1753.35,0.701,511,7,0.42,0.0
or,1753.44,1753.59,0.827,511,8,0.15,0.09
anything,1753.59,1753.8899999999999,1.0,511,9,0.3,0.0
about,1753.8899999999999,1754.12,1.0,511,10,0.23,0.0
the,1754.12,1754.19,1.0,511,11,0.07,0.0
murders,1754.19,1754.74,0.997,511,12,0.55,0.0
case,1755.46,1755.78,0.916,512,0,0.32,1755.46
where,1755.78,1756.05,0.312,512,1,0.27,0.0
it,1756.52,1756.62,0.717,513,0,0.1,1756.52
goes,1756.62,1756.91,1.0,513,1,0.29,0.0
towards,1756.91,1757.37,0.973,513,2,0.46,0.0
we,1760.78,1760.97,0.68,515,0,0.19,1760.78
got,1760.97,1761.1100000000001,0.901,515,1,0.14,0.0
work,1761.1100000000001,1761.33,1.0,515,2,0.22,0.0
to,1761.33,1761.44,0.79,515,3,0.11,0.0
do,1761.44,1761.62,0.678,515,4,0.18,0.0
don't,1762.91,1763.27,0.854,516,0,0.36,1762.91
we,1774.1399999999999,1774.45,0.306,517,0,0.31,1774.14
open,1775.3899999999999,1775.66,0.526,518,0,0.27,1775.39
the,1775.66,1775.72,0.3,518,1,0.06,0.0
damn,1775.72,1776.04,0.3,518,2,0.32,0.0
door,1776.04,1776.3899999999999,0.689,518,3,0.35,0.0
open,1776.99,1777.31,0.472,519,0,0.32,1776.99
dnmt,1777.31,1779.56,0.414,519,1,2.25,0.0
what,1780.8899999999999,1781.53,0.188,520,0,0.64,1780.89
open,1781.8,1782.12,0.778,520,1,0.32,0.27
the,1782.12,1782.21,0.889,520,2,0.09,0.0
mother,1782.21,1782.52,0.195,520,3,0.31,0.0
****,1782.65,1783.01,0.49,520,4,0.36,0.13
dog,1783.01,1783.47,0.187,520,5,0.46,0.0
mn,1783.7,1786.46,0.53,520,6,2.76,0.23
we're,1796.51,1796.87,0.144,524,0,0.36,1796.51
where,1797.78,1798.15,0.094,525,0,0.37,1797.78
I,1799.34,1799.45,0.599,526,0,0.11,1799.34
thought,1799.45,1799.84,0.742,526,1,0.39,0.0
but,1801.24,1801.37,0.326,528,0,0.13,1801.24
I,1801.37,1801.4,0.821,528,1,0.03,0.0
thought,1801.4,1801.84,0.906,528,2,0.44,0.0
this,1811.09,1811.25,0.244,531,0,0.16,1811.09
whole,1811.25,1811.44,0.266,531,1,0.19,0.0
god,1812.65,1812.89,0.232,532,0,0.24,1812.65
brokenness,1813.59,1814.48,0.137,532,1,0.89,0.7
till,1816.68,1816.87,0.605,533,0,0.19,1816.68
boating,1816.87,1817.2,0.3,533,1,0.33,0.0
wrongness,1817.2,1817.64,0.025,533,2,0.44,0.0
asks,1817.64,1818.11,0.065,533,3,0.47,0.0
and,1821.67,1821.76,0.819,534,0,0.09,1821.67
nbsp,1821.76,1823.84,1.0,534,1,2.08,0.0
insightful,1834.13,1834.7,0.23,535,0,0.57,1834.13
Christian,1834.7,1835.11,0.243,535,1,0.41,0.0
at,1835.76,1835.91,1.0,536,0,0.15,1835.76
the,1835.91,1835.99,1.0,536,1,0.08,0.0
door,1835.99,1836.36,0.988,536,2,0.37,0.0
me,1836.49,1836.72,0.358,536,3,0.23,0.13
now,1836.72,1837.16,0.262,536,4,0.44,0.0
I,1837.74,1837.8,1.0,537,0,0.06,1837.74
could,1837.8,1838.04,0.359,537,1,0.24,0.0
see,1838.04,1838.23,0.774,537,2,0.19,0.0
that,1838.23,1838.41,0.926,537,3,0.18,0.0
it,1838.41,1838.47,0.704,537,4,0.06,0.0
was,1838.47,1838.63,1.0,537,5,0.16,0.0
only,1838.63,1838.89,0.983,537,6,0.26,0.0
you,1838.89,1839.1,0.456,537,7,0.21,0.0
is,1839.73,1839.86,0.641,537,8,0.13,0.63
a,1839.86,1839.91,0.757,537,9,0.05,0.0
drugs,1839.91,1840.38,0.696,537,10,0.47,0.0
again,1840.38,1840.79,0.99,537,11,0.41,0.0
like,1844.37,1844.6,0.801,538,0,0.23,1844.37
to,1844.6,1844.7,0.995,538,1,0.1,0.0
sit,1844.7,1844.87,1.0,538,2,0.17,0.0
down,1844.87,1845.18,0.639,538,3,0.31,0.0
president,1848.04,1848.44,0.438,539,0,0.4,1848.04
came,1848.44,1848.74,1.0,539,1,0.3,0.0
to,1848.74,1848.87,1.0,539,2,0.13,0.0
me,1848.87,1849.19,0.986,539,3,0.32,0.0
when,1850.6,1850.76,0.95,540,0,0.16,1850.6
my,1850.76,1850.85,1.0,540,1,0.09,0.0
daughter,1850.85,1851.17,1.0,540,2,0.32,0.0
died,1851.17,1851.6,0.638,540,3,0.43,0.0
he,1852.68,1852.78,0.828,541,0,0.1,1852.68
was,1852.78,1852.95,0.98,541,1,0.17,0.0
four,1852.95,1853.18,0.797,541,2,0.23,0.0
years,1853.18,1853.45,0.962,541,3,0.27,0.0
old,1853.45,1853.69,0.986,541,4,0.24,0.0
but,1855.13,1855.25,0.874,542,0,0.12,1855.13
even,1855.25,1855.48,1.0,542,1,0.23,0.0
then,1855.48,1855.9,0.99,542,2,0.42,0.0
I,1857.45,1857.55,0.523,543,0,0.1,1857.45
knew,1857.55,1857.7,0.553,543,1,0.15,0.0
he,1857.7,1857.79,0.73,543,2,0.09,0.0
was,1857.79,1857.98,0.948,543,3,0.19,0.0
angry,1857.98,1858.49,0.993,543,4,0.51,0.0
the,1859.84,1859.94,0.241,544,0,0.1,1859.84
mother,1859.94,1860.2,0.637,544,1,0.26,0.0
lived,1860.2,1860.58,0.637,544,2,0.38,0.0
out,1860.58,1860.77,0.364,544,3,0.19,0.0
there,1860.77,1861.08,0.51,544,4,0.31,0.0
caught,1862.08,1862.32,1.0,545,0,0.24,1862.08
up,1862.32,1862.47,1.0,545,1,0.15,0.0
in,1862.47,1862.59,0.999,545,2,0.12,0.0
it,1862.59,1862.73,0.793,545,3,0.14,0.0
after,1864.33,1864.62,1.0,546,0,0.29,1864.33
a,1864.62,1864.65,0.328,546,1,0.03,0.0
while,1864.65,1865.18,0.439,546,2,0.53,0.0
you,1866.02,1866.08,0.388,547,0,0.06,1866.02
can,1866.08,1866.24,0.348,547,1,0.16,0.0
make,1866.24,1866.47,1.0,547,2,0.23,0.0
a,1866.47,1866.53,1.0,547,3,0.06,0.0
scene,1866.53,1866.79,1.0,547,4,0.26,0.0
nothing,1866.79,1867.09,0.502,547,5,0.3,0.0
else,1867.09,1867.54,0.839,547,6,0.45,0.0
none,1868.96,1869.26,0.347,548,0,0.3,1868.96
that,1869.26,1869.44,0.974,548,1,0.18,0.0
matter,1869.59,1869.96,0.996,548,2,0.37,0.15
was,1869.96,1870.15,0.8,548,3,0.19,0.0
a,1870.15,1870.2,0.059,548,4,0.05,0.0
nice,1870.2,1870.56,0.081,548,5,0.36,0.0
two,1871.25,1871.4,0.849,549,0,0.15,1871.25
thirty,1871.4,1871.73,0.758,549,1,0.33,0.0
in,1871.73,1871.81,0.551,549,2,0.08,0.0
the,1871.81,1871.89,0.407,549,3,0.08,0.0
town,1871.89,1872.24,0.306,549,4,0.35,0.0
freezing,1873.26,1873.65,0.545,549,5,0.39,1.02
let's,1874.2,1874.53,0.224,550,0,0.33,1874.2
talk,1874.53,1874.8,0.322,550,1,0.27,0.0
about,1874.8,1875.12,0.832,550,2,0.32,0.0
so,1876.81,1877.03,1.0,551,0,0.22,1876.81
how,1877.03,1877.19,1.0,551,1,0.16,0.0
you,1877.19,1877.36,0.865,551,2,0.17,0.0
think,1877.36,1877.61,0.979,551,3,0.25,0.0
you're,1877.61,1877.71,0.385,551,4,0.1,0.0
going,1877.71,1877.9,0.992,551,5,0.19,0.0
to,1877.9,1877.96,1.0,551,6,0.06,0.0
carry,1877.96,1878.57,0.649,551,7,0.61,0.0
and,1879.49,1879.67,0.124,552,0,0.18,1879.49
I'm,1879.67,1879.78,0.98,552,1,0.11,0.0
sorry,1879.78,1880.17,0.906,552,2,0.39,0.0
and,1881.3,1881.52,1.0,553,0,0.22,1881.3
I'm,1881.52,1881.6,1.0,553,1,0.08,0.0
sorry,1881.6,1881.88,1.0,553,2,0.28,0.0
for,1881.88,1882.03,1.0,553,3,0.15,0.0
the,1882.03,1882.11,1.0,553,4,0.08,0.0
way,1882.11,1882.26,1.0,553,5,0.15,0.0
we,1882.26,1882.39,0.789,553,6,0.13,0.0
came,1882.39,1882.63,0.772,553,7,0.24,0.0
through,1882.63,1882.87,0.912,553,8,0.24,0.0
here,1882.87,1883.15,0.677,553,9,0.28,0.0
expressed,1886.61,1887.14,0.406,554,0,0.53,1886.61
incomes,1887.14,1887.5,0.209,554,1,0.36,0.0
also,1887.59,1887.99,0.274,554,2,0.4,0.09
given,1890.54,1890.8,0.651,555,0,0.26,1890.54
this,1890.8,1891.23,1.0,555,1,0.43,0.0
and,1891.89,1892.29,0.754,556,0,0.4,1891.89
tell,1892.56,1892.73,1.0,556,1,0.17,0.27
them,1892.73,1892.84,0.728,556,2,0.11,0.0
we,1892.84,1892.94,1.0,556,3,0.1,0.0
need,1892.94,1893.11,1.0,556,4,0.17,0.0
to,1893.11,1893.19,1.0,556,5,0.08,0.0
talk,1893.19,1893.62,0.993,556,6,0.43,0.0
okay,1894.03,1894.38,0.996,557,0,0.35,1894.03
sorry,1897.25,1897.68,0.962,558,0,0.43,1897.25
and,1903.36,1903.46,0.966,559,0,0.1,1903.36
nbsp,1903.46,1905.15,1.0,559,1,1.69,0.0
the,1907.09,1907.16,1.0,561,0,0.07,1907.09
****,1907.16,1907.44,0.849,561,1,0.28,0.0
you,1907.44,1907.54,0.716,561,2,0.1,0.0
doing,1907.54,1907.79,0.419,561,3,0.25,0.0
in,1907.79,1907.88,0.769,561,4,0.09,0.0
there,1907.88,1908.03,0.413,561,5,0.15,0.0
talk,1908.41,1908.75,0.362,561,6,0.34,0.38
talking,1910.95,1911.36,0.272,562,0,0.41,1910.95
right,1918.32,1918.56,0.229,563,0,0.24,1918.32
catch,1918.94,1919.17,0.405,563,1,0.23,0.38
with,1919.17,1919.48,0.379,563,2,0.31,0.0
about,1919.85,1920.12,0.254,564,0,0.27,1919.85
yeah,1946.37,1946.69,0.966,568,0,0.32,1946.37
McNulty,1950.15,1950.78,0.709,569,0,0.63,1950.15
some,1952.95,1953.27,0.278,570,0,0.32,1952.95
judge,1953.27,1953.68,0.917,570,1,0.41,0.0
for,1953.68,1953.87,0.906,570,2,0.19,0.0
you,1953.87,1954.16,0.965,570,3,0.29,0.0
yeah,1960.6100000000001,1960.82,0.669,571,0,0.21,1960.61
we're,1964.55,1964.66,0.352,572,0,0.11,1964.55
gonna,1964.66,1964.81,0.296,572,1,0.15,0.0
call,1964.81,1965.01,0.346,572,2,0.2,0.0
you,1965.01,1965.1,0.264,572,3,0.09,0.0
back,1965.1,1965.38,0.734,572,4,0.28,0.0
register,1974.06,1974.6100000000001,0.112,575,0,0.55,1974.06
yeah,1975.22,1975.47,0.987,576,0,0.25,1975.22
I,1978.75,1978.85,0.656,578,0,0.1,1978.75
didn't,1978.85,1979.1100000000001,0.186,578,1,0.26,0.0
think,1979.1100000000001,1979.44,0.592,578,2,0.33,0.0
it,1979.44,1979.56,0.345,578,3,0.12,0.0
it's,1980.43,1980.65,1.0,579,0,0.22,1980.43
a,1980.65,1980.7,0.863,579,1,0.05,0.0
clear,1980.7,1981.02,1.0,579,2,0.32,0.0
violation,1981.02,1981.6,1.0,579,3,0.58,0.0
of,1981.6,1981.67,1.0,579,4,0.07,0.0
the,1981.67,1981.76,1.0,579,5,0.09,0.0
general,1981.76,1982.22,1.0,579,6,0.46,0.0
orders,1982.22,1982.53,0.91,579,7,0.31,0.0
I,1982.53,1982.69,0.184,579,8,0.16,0.0
know,1982.69,1982.99,0.085,579,9,0.3,0.0
but,1983.22,1983.43,0.965,579,10,0.21,0.23
last,1990.98,1991.27,1.0,582,0,0.29,1990.98
night,1991.27,1991.47,0.98,582,1,0.2,0.0
I,1991.47,1991.54,0.622,582,2,0.07,0.0
went,1991.54,1991.7,0.198,582,3,0.16,0.0
home,1991.7,1991.96,1.0,582,4,0.26,0.0
from,1991.96,1992.16,0.556,582,5,0.2,0.0
signup,1992.16,1992.63,0.11,582,6,0.47,0.0
Buck,1992.63,1992.91,0.991,582,7,0.28,0.0
naked,1992.91,1993.31,0.997,582,8,0.4,0.0
and,1993.8899999999999,1994.1399999999999,0.991,583,0,0.25,1993.89
I,1994.1399999999999,1994.35,1.0,583,1,0.21,0.0
I,1994.38,1994.52,0.613,583,2,0.14,0.03
got,1994.52,1994.75,0.814,583,3,0.23,0.0
one,1995.1,1995.35,0.512,583,4,0.25,0.35
hand,1995.35,1995.53,1.0,583,5,0.18,0.0
wrapped,1995.53,1995.8,1.0,583,6,0.27,0.0
around,1995.8,1996.28,0.98,583,7,0.48,0.0
cool,1996.34,1996.82,0.863,583,8,0.48,0.06
domestic,1996.93,1997.38,1.0,583,9,0.45,0.11
beer,1997.38,1997.65,0.689,583,10,0.27,0.0
and,1998.68,1998.93,0.609,584,0,0.25,1998.68
the,1998.93,1998.99,0.743,584,1,0.06,0.0
other,1998.99,1999.19,0.984,584,2,0.2,0.0
wrapped,1999.19,1999.45,1.0,584,3,0.26,0.0
around,1999.45,1999.76,1.0,584,4,0.31,0.0
my,1999.76,1999.95,0.839,584,5,0.19,0.0
magnificent,1999.95,2000.58,1.0,584,6,0.63,0.0
flaccid,2000.58,2001.03,1.0,584,7,0.45,0.0
four,2001.03,2001.41,0.993,584,8,0.38,0.0
and,2001.41,2001.56,0.741,584,9,0.15,0.0
one,2001.56,2001.74,0.978,584,10,0.18,0.0
half,2001.74,2002.04,1.0,584,11,0.3,0.0
inch,2002.04,2002.19,1.0,584,12,0.15,0.0
wonder,2002.19,2002.62,0.784,584,13,0.43,0.0
and,2002.66,2002.82,0.707,584,14,0.16,0.04
I,2002.82,2003.03,0.518,584,15,0.21,0.0
am,2003.03,2003.26,0.218,584,16,0.23,0.0
trying,2004.23,2004.56,0.423,584,17,0.33,0.97
with,2004.56,2004.7,0.994,584,18,0.14,0.0
all,2004.7,2004.85,0.875,584,19,0.15,0.0
my,2004.85,2005.01,0.875,584,20,0.16,0.0
heart,2005.01,2005.3,0.368,584,21,0.29,0.0
to,2005.92,2006.05,0.675,584,22,0.13,0.62
remember,2006.05,2006.62,0.957,584,23,0.57,0.0
what,2006.83,2007.13,0.993,584,24,0.3,0.21
Layla,2007.13,2007.3899999999999,0.388,584,25,0.26,0.0
Khachmaz,2007.3899999999999,2007.83,0.303,584,26,0.44,0.0
nipples,2007.83,2008.23,0.792,584,27,0.4,0.0
looked,2008.23,2008.45,0.516,584,28,0.22,0.0
like,2008.45,2008.77,0.996,584,29,0.32,0.0
when,2009.77,2009.96,0.567,585,0,0.19,2009.77
her,2009.96,2010.22,0.998,585,1,0.26,0.0
bathing,2010.46,2010.92,0.175,585,2,0.46,0.24
tub,2010.92,2011.22,0.128,585,3,0.3,0.0
slipped,2011.22,2011.58,0.915,585,4,0.36,0.0
off,2011.58,2011.9,0.881,585,5,0.32,0.0
the,2011.9,2011.98,0.98,585,6,0.08,0.0
Hillandale,2011.98,2012.3600000000001,0.345,585,7,0.38,0.0
policemen,2012.3600000000001,2012.78,0.563,585,8,0.42,0.0
burn,2012.78,2013.09,0.212,585,9,0.31,0.0
nnj,2013.26,2014.72,0.376,585,10,1.46,0.17
they'll,2014.95,2015.23,0.442,585,11,0.28,0.23
cough,2015.23,2015.54,0.274,585,12,0.31,0.0
yes,2015.91,2016.12,0.774,585,13,0.21,0.37
Sir,2016.12,2016.35,0.588,585,14,0.23,0.0
it's,2016.4,2016.68,0.615,585,15,0.28,0.05
summer,2017.29,2017.6,0.481,585,16,0.31,0.61
of,2017.6,2017.76,0.117,585,17,0.16,0.0
seventy,2017.76,2018.17,0.995,585,18,0.41,0.0
two,2018.17,2018.42,0.989,585,19,0.25,0.0
why,2019.75,2019.94,0.088,586,0,0.19,2019.75
can't,2019.94,2020.12,0.254,586,1,0.18,0.0
the,2020.12,2020.22,0.608,586,2,0.1,0.0
saucy,2020.22,2020.69,1.0,586,3,0.47,0.0
wench,2020.69,2021.03,1.0,586,4,0.34,0.0
and,2021.16,2021.31,0.837,586,5,0.15,0.13
buy,2021.31,2021.4,0.289,586,6,0.09,0.0
guns,2021.4,2021.77,0.251,586,7,0.37,0.0
so,2022.56,2022.76,1.0,587,0,0.2,2022.56
to,2022.76,2022.85,0.925,587,1,0.09,0.0
speak,2022.85,2023.02,0.925,587,2,0.17,0.0
and,2024.58,2024.92,0.985,588,0,0.34,2024.58
I,2025.8899999999999,2026.03,1.0,589,0,0.14,2025.89
am,2026.03,2026.19,1.0,589,1,0.16,0.0
dangerously,2026.19,2027.04,0.998,589,2,0.85,0.0
close,2027.83,2028.26,1.0,590,0,0.43,2027.83
to,2028.26,2028.58,1.0,590,1,0.32,0.0
ingo,2029.35,2029.72,0.155,591,0,0.37,2029.35
urged,2029.72,2030.24,0.844,591,1,0.52,0.0
ndan,2030.29,2031.44,0.381,591,2,1.15,0.05
hall,2031.49,2031.68,0.182,591,3,0.19,0.05
of,2031.68,2031.75,0.606,591,4,0.07,0.0
the,2031.75,2031.83,0.667,591,5,0.08,0.0
****,2031.83,2032.13,0.229,591,6,0.3,0.0
sun,2032.13,2032.59,0.209,591,7,0.46,0.0
at,2032.75,2032.8899999999999,0.354,591,8,0.14,0.16
a,2032.8899999999999,2032.94,1.0,591,9,0.05,0.0
****,2032.94,2033.38,0.366,591,10,0.44,0.0
know,2033.38,2033.63,0.855,591,11,0.25,0.0
where,2033.63,2033.96,0.868,591,12,0.33,0.0
often,2034.63,2034.91,0.054,592,0,0.28,2034.63
detective,2034.91,2035.41,0.834,592,1,0.5,0.0
****,2035.41,2035.81,0.61,592,2,0.4,0.0
Jimmy,2035.81,2036.1,0.431,592,3,0.29,0.0
McNulty,2036.1,2036.96,0.269,592,4,0.86,0.0
pops,2037.63,2037.92,0.79,593,0,0.29,2037.63
into,2037.92,2038.04,0.903,593,1,0.12,0.0
my,2038.04,2038.19,0.964,593,2,0.15,0.0
head,2038.19,2038.47,0.859,593,3,0.28,0.0
not,2039.19,2039.5,0.708,594,0,0.31,2039.19
I,2040.16,2040.29,0.472,595,0,0.13,2040.16
was,2040.29,2040.43,0.282,595,1,0.14,0.0
really,2040.43,2040.87,0.092,595,2,0.44,0.0
open,2040.87,2041.16,0.084,595,3,0.29,0.0
my,2041.16,2041.34,1.0,595,4,0.18,0.0
eyes,2041.34,2041.65,0.998,595,5,0.31,0.0
in,2041.65,2041.8,0.592,595,6,0.15,0.0
mid,2041.8,2041.96,0.141,595,7,0.16,0.0
to,2041.96,2042.05,0.359,595,8,0.09,0.0
myself,2042.05,2042.49,0.909,595,9,0.44,0.0
that,2042.49,2042.59,0.367,595,10,0.1,0.0
my,2042.59,2042.71,1.0,595,11,0.12,0.0
whole,2042.71,2042.99,1.0,595,12,0.28,0.0
night,2042.99,2043.23,0.998,595,13,0.24,0.0
is,2043.23,2043.33,0.857,595,14,0.1,0.0
ruined,2043.33,2043.79,1.0,595,15,0.46,0.0
which,2044.16,2044.4,0.773,595,16,0.24,0.37
point,2044.4,2044.71,0.925,595,17,0.31,0.0
I,2045.12,2045.25,0.978,595,18,0.13,0.41
got,2045.25,2045.37,0.274,595,19,0.12,0.0
nothing,2045.37,2045.6,0.955,595,20,0.23,0.0
to,2045.6,2045.67,1.0,595,21,0.07,0.0
do,2045.67,2045.99,0.995,595,22,0.32,0.0
but,2046.78,2046.93,1.0,596,0,0.15,2046.78
think,2046.93,2047.07,1.0,596,1,0.14,0.0
about,2047.07,2047.25,1.0,596,2,0.18,0.0
the,2047.25,2047.32,1.0,596,3,0.07,0.0
problems,2047.32,2047.62,1.0,596,4,0.3,0.0
of,2047.62,2047.78,1.0,596,5,0.16,0.0
Jimmy,2047.78,2048.05,0.483,596,6,0.27,0.0
McNulty,2048.05,2048.65,0.521,596,7,0.6,0.0
because,2049.03,2049.25,1.0,596,8,0.22,0.38
clearly,2049.25,2049.69,0.995,596,9,0.44,0.0
this,2049.93,2050.13,1.0,596,10,0.2,0.24
guy,2050.13,2050.52,0.997,596,11,0.39,0.0
and,2051.49,2051.65,1.0,597,0,0.16,2051.49
his,2051.65,2051.88,1.0,597,1,0.23,0.0
****,2051.88,2052.45,0.622,597,2,0.57,0.0
problems,2052.45,2052.99,0.982,597,3,0.54,0.0
are,2052.99,2053.08,0.568,597,4,0.09,0.0
standing,2053.08,2053.41,0.361,597,5,0.33,0.0
between,2053.41,2053.77,0.982,597,6,0.36,0.0
me,2053.77,2053.97,0.981,597,7,0.2,0.0
and,2053.97,2054.09,0.753,597,8,0.12,0.0
all,2054.09,2054.41,1.0,597,9,0.32,0.0
worldly,2054.41,2054.8,1.0,597,10,0.39,0.0
pleasures,2054.8,2055.19,0.207,597,11,0.39,0.0
clearly,2055.94,2056.41,0.994,598,0,0.47,2055.94
first,2057.36,2057.7,0.873,599,0,0.34,2057.36
it's,2059.49,2059.69,1.0,600,0,0.2,2059.49
not,2059.69,2059.95,0.905,600,1,0.26,0.0
useful,2059.95,2060.52,0.064,600,2,0.57,0.0
no,2062.5,2062.7799999999997,0.913,601,0,0.28,2062.5
no,2062.98,2063.21,0.985,601,1,0.23,0.2
Jimmy,2064.24,2064.62,0.559,602,0,0.38,2064.24
is,2064.65,2064.81,0.644,602,1,0.16,0.03
an,2064.81,2064.94,0.402,602,2,0.13,0.0
addict,2064.9700000000003,2065.4,0.076,602,3,0.43,0.03
she,2066.63,2066.76,0.576,603,0,0.13,2066.63
attempted,2066.76,2067.15,0.088,603,1,0.39,0.0
to,2067.15,2067.32,0.57,603,2,0.17,0.0
no,2070.88,2071.15,0.476,604,0,0.27,2070.88
it's,2072.16,2072.37,0.965,604,1,0.21,1.01
not,2072.37,2072.58,0.811,604,2,0.21,0.0
funny,2072.58,2072.9,0.662,604,3,0.32,0.0
Sir,2072.9,2073.16,0.344,604,4,0.26,0.0
what,2074.16,2074.33,0.572,604,5,0.17,1.0
effect,2074.33,2074.63,0.674,604,6,0.3,0.0
it's,2074.63,2074.82,0.519,604,7,0.19,0.0
a,2074.82,2074.85,0.484,604,8,0.03,0.0
****,2074.85,2075.2799999999997,0.368,604,9,0.43,0.0
tragedies,2075.2799999999997,2076.01,0.876,604,10,0.73,0.0
the,2077.5299999999997,2077.64,0.613,605,0,0.11,2077.53
guy,2077.64,2078.0,0.892,605,1,0.36,0.0
he,2078.59,2078.75,0.744,606,0,0.16,2078.59
has,2078.75,2078.88,0.486,606,1,0.13,0.0
come,2078.88,2079.16,0.978,606,2,0.28,0.0
to,2079.16,2079.25,1.0,606,3,0.09,0.0
believe,2079.25,2079.74,1.0,606,4,0.49,0.0
that,2079.77,2079.9700000000003,1.0,606,5,0.2,0.03
he,2079.9700000000003,2080.31,1.0,606,6,0.34,0.0
is,2080.34,2080.54,1.0,606,7,0.2,0.03
always,2080.54,2080.86,1.0,606,8,0.32,0.0
the,2080.86,2080.95,1.0,606,9,0.09,0.0
smartest,2080.95,2081.41,1.0,606,10,0.46,0.0
****,2081.41,2081.65,0.366,606,11,0.24,0.0
in,2081.65,2081.7200000000003,0.727,606,12,0.07,0.0
the,2081.7200000000003,2081.81,0.989,606,13,0.09,0.0
room,2081.81,2082.16,0.992,606,14,0.35,0.0
you,2082.8,2082.9700000000003,0.763,607,0,0.17,2082.8
know,2082.9700000000003,2083.13,0.935,607,1,0.16,0.0
it,2083.13,2083.29,0.209,607,2,0.16,0.0
status,2084.14,2084.57,0.285,608,0,0.43,2084.14
